name,bn,lr,rho,aggr,ckpt,conv,loss,seed,model,es_eps,layers,dropout,pooling,res_eps,shuffle,workers,in_scale,patience,res_iter,val_fold,conflicts,learn_eps,negatives,optimizer,pool_from,scheduler,test_fold,whole_ppi,activation,batch_size,dataloader,early_stop,gin_layers,hidden_dim,max_epochs,undirected,biogrid_ver,dirgnn_conv,hold_out_by,log_service,n_val_folds,stratify_on,dirgnn_alpha,n_test_folds,warmup_steps,weight_decay,num_neighbors,uniform_bound,embeddings_len,gin_hidden_dim,in_initializer,readout_lambda,rec_initializer,weighted_sampler,weight_initializer,bias,bias_scale,W_in_0,W_in_1,W_in_2,W_in_3,W_out_0,W_out_1,W_out_2,W_out_3,_runtime,_step,_timestamp,_wandb,epoch,graph_0,test_acc,test_auroc,test_f1,test_loss,test_mcc,test_precision,test_recall,test_spec,train_acc,train_auroc,train_f1,train_loss,train_mcc,train_precision,train_recall,train_spec,trainer/global_step,val_acc,val_auroc,val_f1,val_loss,val_mcc,val_precision,val_recall,val_spec,graph_1,W_in_4,W_in_5,W_out_4,W_out_5,graph_2,graph_3,graph_4,graph_5,graph_6,graph_7,graph_8,graph_9,graph_10,graph_11,graph_12,graph_13,graph_14,graph_15,graph_16,graph_17,graph_18,graph_19,graph_20,graph_21,graph_22,graph_23,graph_24,graph_25,graph_26,graph_27,graph_28,graph_29,graph_30,graph_31,graph_32,graph_33,graph_34,graph_35,graph_36,graph_37,graph_38,graph_39,graph_40,graph_41,graph_42,graph_43,graph_44,graph_45,graph_46,graph_47,graph_48,graph_49,graph_50,graph_51,graph_52,graph_53,graph_54,graph_55,graph_56,graph_57,graph_58,graph_59,graph_60,graph_61,graph_62,graph_63,graph_64,graph_65,graph_66,graph_67,graph_68,graph_69,graph_70,graph_71,graph_72,graph_73,graph_74,graph_75,graph_76,graph_77,graph_78,graph_79,graph_80,graph_81,graph_82,graph_83,graph_84,graph_85,graph_86,graph_87,graph_88,graph_89,graph_90,graph_91,graph_92,graph_93,graph_94,graph_95,graph_96,graph_97,graph_98,graph_99,graph_100,graph_101,graph_102,graph_103,graph_104,graph_105,graph_106,graph_107,graph_108,graph_109,graph_110,graph_111,graph_112,graph_113,graph_114,graph_115,graph_116,graph_117,graph_118,graph_119,graph_120,graph_121,graph_122,graph_123,graph_124,graph_125,graph_126,graph_127,graph_128,graph_129,graph_130,graph_131
train_gcn_da069_00000,False,0.0005,0.9,mean,True,DirGNNConv,bce,42,gcn,1e-08,2,0.5,add,1e-06,True,4,1,100,100,0,True,True,True,adam,last,,0,False,sigmoid,4096,normal,True,2,512,5000,False,2024-10,GraphConv,UC2,wandb,1,sensitivity,0.5,4,0,1e-05,5,,128,512,uniform,0.001,uniform,class,glorot,,,1.1340311765670776,0.5822532773017883,,,1.168228030204773,0.590204656124115,,,914.5479102134703,793.0,2024-10-22 23:04:32.469318144,{'runtime': 914},305.0,"{'_type': 'graph-file', 'path': 'media/graph/graph_0_summary_41b42e1aef2b98c8c8f7.graph.json', 'sha256': '41b42e1aef2b98c8c8f797a082cdb969e93d54e74666f5c2ddffd7c40a1e0220', 'size': 1419}",0.7858376502990723,0.8299539089202881,0.64449542760849,0.5601310133934021,0.4927043616771698,0.6169044971466064,0.6746698617935181,0.8307467699050903,0.8973143696784973,0.9675124883651732,0.8956661224365234,0.2324921041727066,0.7947970628738403,0.8857142925262451,0.9058441519737244,0.8892307877540588,915.0,0.7819383144378662,0.8410444855690002,0.6689677834510803,0.5220126509666443,0.5057345628738403,0.6161139011383057,0.7321649789810181,0.7937643527984619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_gcn_e6888_00000,False,0.0005,0.9,mean,True,DirGNNConv,bce,42,gcn,1e-08,4,0.5,add,1e-06,True,4,1,100,100,0,True,True,True,adam,last,,0,False,sigmoid,4096,normal,True,2,512,5000,False,2024-10,GraphConv,UC1,wandb,1,sensitivity,0.5,4,0,0.0,5,0.0001,0,512,uniform,0.001,uniform,,glorot,,,8.94563102722168,2.0823211669921875,1.6393539905548096,2.173964738845825,8.852020263671875,2.089001178741455,1.657094955444336,2.166123867034912,14876.59255361557,9089.0,2024-10-23 02:57:35.378393600,{'runtime': 14876},3496.0,"{'_type': 'graph-file', 'path': 'media/graph/graph_0_summary_20aefb79c797856f995b.graph.json', 'sha256': '20aefb79c797856f995b87bcdc717cd84ede6ad8a011773852ddd218d988e139', 'size': 2558}",0.818075954914093,0.8982270359992981,0.7350638508796692,0.3806636035442352,0.5994210243225098,0.69514399766922,0.7805553078651428,0.8364430069923401,0.8481252789497375,0.922891080379486,0.7575757503509521,0.3295058012008667,0.6502788066864014,0.8077544569969177,0.7132667899131775,0.9153627157211304,10488.0,0.8245341777801514,0.9020038843154908,0.7331759333610535,0.3667025864124298,0.6026679277420044,0.7220930457115173,0.7446042895317078,0.8628014326095581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_gcn_202c7_00000,False,0.0005,0.9,mean,True,DirGNNConv,bce,42,gcn,1e-08,3,0.5,add,1e-06,True,4,1,100,100,0,True,True,True,adam,all,,2,False,sigmoid,4096,normal,True,2,512,5000,False,2024-10,GraphConv,UC2,wandb,1,sensitivity,0.5,4,0,1e-05,5,,128,512,uniform,0.001,uniform,,glorot,,,1.1248010396957395,0.5900289416313171,0.5750972032546997,,1.1654303073883057,0.5903763771057129,0.5750042200088501,,1228.2038724422457,787.0,2024-10-22 23:26:02.497694464,{'runtime': 1228},303.0,"{'_type': 'graph-file', 'path': 'media/graph/graph_0_summary_a89caf1bc1d56b8c0b2d.graph.json', 'sha256': 'a89caf1bc1d56b8c0b2d01f0cb346e730b2a60f10dadb1fa0894a5b64da787bc', 'size': 2000}",0.7712807059288025,0.8200047016143799,0.6344085931777954,0.5913975238800049,0.4683085083961487,0.6478040814399719,0.6215559244155884,0.8415051102638245,0.88818359375,0.9568266868591307,0.8178201913833618,0.2537143230438232,0.7421177625656128,0.8839209079742432,0.7609178423881531,0.9508196711540222,909.0,0.8093249797821045,0.8622927665710449,0.6721159219741821,0.4768736362457275,0.545129120349884,0.7496421933174133,0.6092903017997742,0.9033571481704712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_gcn_1ad1f_00000,False,0.0005,0.9,mean,True,DirGNNConv,bce,42,gcn,1e-08,2,0.5,add,1e-06,True,4,1,100,100,0,True,True,True,adam,all,,3,False,sigmoid,4096,normal,True,2,512,5000,False,2024-10,GraphConv,UC2,wandb,1,sensitivity,0.5,4,0,1e-05,5,,128,512,uniform,0.001,uniform,,glorot,,,1.1308962106704712,0.5873222351074219,,,1.180453538894653,0.5866186618804932,,,1016.6296973228456,858.0,2024-10-22 23:43:50.357791488,{'runtime': 1016},330.0,"{'_type': 'graph-file', 'path': 'media/graph/graph_0_summary_5ff3e45a81379ec239ea.graph.json', 'sha256': '5ff3e45a81379ec239ea50bd925ca1573491490317c8c33fe2602de9a7baf880', 'size': 1422}",0.8148910999298096,0.8774235248565674,0.6884596347808838,0.4678697288036346,0.5607807040214539,0.7425214052200317,0.6417359113693237,0.895896315574646,0.889870822429657,0.9543018341064452,0.8195990920066833,0.2528018951416015,0.7428645491600037,0.8658823370933533,0.7780126929283142,0.9428857564926147,990.0,0.8392987847328186,0.8991721272468567,0.7368898987770081,0.3899343311786651,0.6231998801231384,0.7744799852371216,0.7027798295021057,0.9038991928100586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_gcn_964d0_00000,False,0.0005,0.9,add,True,DirGNNConv,bce,42,gcn,1e-08,2,0.5,add,1e-06,True,4,1,100,100,0,True,True,True,adam,last,,0,False,sigmoid,4096,normal,True,2,512,5000,False,2024-10,GraphConv,UC3,wandb,1,sensitivity,0.0,4,0,0.0001,5,,0,512,uniform,0.001,uniform,class,glorot,,,7.78729772567749,0.5697293877601624,,,4.636954307556152,1.0936375503117768e-12,,,541.3571813106537,504.0,2024-10-22 23:53:41.636555264,{'runtime': 541},194.0,"{'_type': 'graph-file', 'path': 'media/graph/graph_0_summary_5814326ff09e5240c568.graph.json', 'sha256': '5814326ff09e5240c5687c966f2cdeda76c6c4a2a45070347f181ba481497e36', 'size': 1402}",0.6870066523551941,0.7056636214256287,0.4933660924434662,0.5970795154571533,0.2669221460819244,0.4936086535453797,0.4931237697601318,0.7737258076667786,0.628662109375,0.6819183230400085,0.6526604294776917,0.6373258233070374,0.2612721920013428,0.6088624000549316,0.7032480239868164,0.555232584476471,582.0,0.5750717520713806,0.5068603754043579,0.3802882432937622,0.7334585785865784,0.0569945573806762,0.3783533871173858,0.3822429776191711,0.6748911738395691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_gcn_f7117_00000,False,0.0005,0.9,mean,True,DirGNNConv,bce,42,gcn,1e-08,4,0.5,add,1e-06,True,4,1,100,100,0,True,True,True,adam,last,,1,False,sigmoid,4096,normal,True,2,512,5000,False,2024-10,GraphConv,UC3,wandb,1,sensitivity,0.1,4,0,1e-05,5,,0,512,uniform,0.001,uniform,class,glorot,,,8.06776237487793,0.5785698294639587,0.5681770443916321,0.5924669504165649,8.115864753723145,0.5822883248329163,0.5898751616477966,0.5746117234230042,631.075756072998,356.0,2024-10-23 00:05:03.017095936,{'runtime': 630},137.0,"{'_type': 'graph-file', 'path': 'media/graph/graph_0_summary_a7b928b23a71794d9e71.graph.json', 'sha256': 'a7b928b23a71794d9e71a7a7d6bcd9b8b69d6a990b731c164d44ef73ce50cb32', 'size': 2558}",0.6513400077819824,0.6366896629333496,0.2704782783985138,0.6458849906921387,0.0740175917744636,0.3880126178264618,0.2075949311256408,0.8519648909568787,0.57275390625,0.6414929032325745,0.4766746461391449,0.671900749206543,0.1613180488348007,0.6250980496406555,0.385210245847702,0.764183521270752,411.0,0.5362035036087036,0.5905621647834778,0.1902050226926803,0.6867291331291199,-0.0064074569381773,0.4406332075595856,0.1212781369686126,0.8744819164276123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_gcn_8d05a_00000,False,0.0005,0.9,mean,True,DirGNNConv,bce,42,gcn,1e-08,2,0.5,add,1e-06,True,4,1,100,100,0,True,True,True,adam,last,,2,False,sigmoid,4096,normal,True,2,512,5000,False,2024-10,GraphConv,UC3,wandb,1,sensitivity,0.0,4,0,1e-05,5,,0,512,uniform,0.001,uniform,class,glorot,,,7.535015106201172,0.5802985429763794,,,3.062321662902832,8.995981426070285e-20,,,713.7791662216187,782.0,2024-10-23 00:17:46.869986304,{'runtime': 713},301.0,"{'_type': 'graph-file', 'path': 'media/graph/graph_0_summary_851264d26bc675143a75.graph.json', 'sha256': '851264d26bc675143a752dfa896519fb4dec7f6eaccdbb869182786f7224fb9c', 'size': 1402}",0.6762075424194336,0.6583737730979919,0.3207387626171112,0.5771473050117493,0.1360682994127273,0.458936333656311,0.2489033341407776,0.8638577461242676,0.6415770649909973,0.6976001858711243,0.6402877569198608,0.6243020296096802,0.2855230569839477,0.6137930750846863,0.6691729426383972,0.6164383292198181,903.0,0.5854521989822388,0.5762784481048584,0.3534136414527893,0.6874167323112488,0.095216304063797,0.5028571486473083,0.2724458277225494,0.808264434337616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_gcn_54679_00000,False,0.0005,0.9,add,True,DirGNNConv,bce,42,gcn,1e-08,2,0.5,add,1e-06,True,4,1,100,100,0,True,True,True,adam,last,,3,False,sigmoid,4096,normal,True,2,512,5000,False,2024-10,GraphConv,UC3,wandb,1,sensitivity,0.5,4,0,0.0001,5,,0,512,uniform,0.001,uniform,class,glorot,,,7.813948154449463,0.5569683313369751,,,7.737608909606934,0.5569049119949341,,,504.4548597335816,507.0,2024-10-23 00:27:01.331588864,{'runtime': 504},195.0,"{'_type': 'graph-file', 'path': 'media/graph/graph_0_summary_c74358579ea0b8996185.graph.json', 'sha256': 'c74358579ea0b89961852646516f8d4091474894089c459d834b8eac51018d73', 'size': 1402}",0.4928539395332336,0.6042993664741516,0.4989142417907715,0.7019163966178894,0.1074461191892624,0.378377228975296,0.7460799217224121,0.3543600440025329,0.6302729249000549,0.6764686703681946,0.6597063541412354,0.6401790976524353,0.2639893591403961,0.6123561263084412,0.7149929404258728,0.545131504535675,585.0,0.5199761390686035,0.618523120880127,0.5515320301055908,0.6937252283096313,0.1687111556529998,0.4194915294647217,0.8048780560493469,0.3549906015396118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_gcn_a00dc_00000,False,0.0005,0.9,add,True,DirGNNConv,bce,42,gcn,1e-08,4,0.5,add,1e-06,True,4,1,100,100,0,True,True,True,adam,last,,0,False,sigmoid,4096,normal,True,2,512,5000,False,2024-10,GraphConv,UC3,wandb,1,sensitivity,0.1,4,0,0.0001,5,,128,512,uniform,0.001,uniform,class,glorot,,,1.1318414211273191,0.5911141037940979,0.585606575012207,0.6311590671539307,1.165837287902832,0.5886188745498657,0.5685374140739441,0.5764871835708618,1264.937061548233,650.0,2024-10-23 00:48:58.289794560,{'runtime': 1264},250.0,"{'_type': 'graph-file', 'path': 'media/graph/graph_0_summary_34b4206d5a25df4564b6.graph.json', 'sha256': '34b4206d5a25df4564b6f55d94bd3912b8e381ae9072f96ea1fc31ab11a65de9', 'size': 2575}",0.6469337940216064,0.6393159031867981,0.5465887188911438,2.5065343379974365,0.2934209704399109,0.4531351029872894,0.6886051297187805,0.6282952427864075,0.7457760572433472,0.8111972808837891,0.7294019460678101,0.5442407131195068,0.4901948571205139,0.744027316570282,0.7153404355049133,0.773755669593811,750.0,0.5795345902442932,0.547203004360199,0.5610648989677429,3.644162893295288,0.2530975937843323,0.4356589019298553,0.7878504395484924,0.4716981053352356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_gcn_b037f_00000,False,0.0005,0.9,mean,True,DirGNNConv,bce,42,gcn,1e-08,4,0.5,add,1e-06,True,4,1,100,100,0,True,True,True,adam,last,,1,False,sigmoid,4096,normal,True,2,512,5000,False,2024-10,GraphConv,UC3,wandb,1,sensitivity,0.0,4,0,0.0001,5,,128,512,uniform,0.001,uniform,class,glorot,,,1.132038950920105,0.5871919989585876,0.5863444209098816,0.6356550455093384,1.0176906471315306e-05,1.5070523699963444e-14,1.2799449644422794e-14,1.7643984282509143e-14,1053.382188796997,572.0,2024-10-23 01:07:22.405435904,{'runtime': 1053},220.0,"{'_type': 'graph-file', 'path': 'media/graph/graph_0_summary_9c2b717dfa4202e17af1.graph.json', 'sha256': '9c2b717dfa4202e17af1905a14cca70b989ce9b95979fb6ab1309e988045d24c', 'size': 2575}",0.7259590029716492,0.719169020652771,0.5217790007591248,1.251091718673706,0.3342079520225525,0.5712851285934448,0.4801687896251678,0.8370850682258606,0.7343155741691589,0.8107388019561768,0.7361963391304016,0.5241469740867615,0.4697600305080414,0.7572815418243408,0.7162534594535828,0.7536945939064026,660.0,0.6846053600311279,0.6505085229873657,0.6371482014656067,19.19550323486328,0.3594088852405548,0.6591615080833435,0.6165577173233032,0.740082859992981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
